category,sleeveType,premium,costPrice,price
blusa,Manga 3/4,no,23,27
vestido jeans solto curto,Manga longa,no,24,29
t-shirt,unknown,yes,20,31
vestido colado curto,Manga 3/4,no,21,26
sueter,Manga longa,no,27,37
short jeans,unknown,yes,26,40
calça jeans wide leg,unknown,no,43,50
vestido jeans colado curto,Uma manga só,no,17,22
vestido jeans solto curto,Manga curta,no,22,27
vestido jeans solto longo,Uma manga só,yes,40,50
vestido jeans solto longo,Uma manga só,no,36,48
saia,unknown,yes,47,49
macaquinho,Uma manga só,no,25,35
vestido solto curto,Manga longa,no,16,21
calça aladin,unknown,no,30,35
vestido jeans solto curto,Manga 3/4,yes,17,26
short jeans,unknown,no,16,30
vestido jeans colado medio,Manga longa,yes,15,24
calça jeans mom,unknown,no,35,50
saia jeans,unknown,no,33,40
calça jeans wide leg,unknown,yes,30,50
macaquinho,Manga longa,yes,21,40
cardigan,Manga longa,no,39,42
saia,unknown,no,31,33
vestido solto longo,Uma manga só,no,34,46
t-shirt,unknown,yes,32,39
short,unknown,no,29,33
blazer,Manga longa,no,29,40
blusa,Manga 3/4,no,33,34
jaqueta,Manga longa,no,22,37
calça aladin,unknown,no,25,35
vestido solto longo,Manga 3/4,no,17,32
cardigan,Manga longa,no,32,40
calça mom,unknown,no,27,35
calça jeans skinny,unknown,yes,39,51
macaquinho,Uma manga só,no,40,42
sueter,Manga longa,yes,27,42
calça jeans wide leg,unknown,no,27,47
saia,unknown,yes,36,41
vestido jeans colado curto,Manga 3/4,yes,34,40
vestido solto longo,Manga curta,no,33,46
saia,unknown,yes,26,36
jaqueta,Manga longa,yes,34,48
t-shirt,unknown,no,14,20
calça jeans mom,unknown,yes,40,50
t-shirt,unknown,yes,18,27
saia jeans,unknown,no,28,39
short,unknown,no,25,32
short,unknown,no,40,42
vestido jeans colado curto,Uma manga só,yes,24,32
short jeans,unknown,no,37,43
calça,unknown,yes,26,41
saia,unknown,no,30,32
saia,unknown,yes,30,36
macacao longo,Uma manga só,no,25,40
vestido jeans solto medio,Manga longa,no,23,28
short,unknown,yes,31,36
short,unknown,no,30,32
vestido jeans colado curto,Manga curta,no,38,39
t-shirt,unknown,yes,22,30
macacao longo,Uma manga só,no,17,35
short,unknown,no,36,39
calça,unknown,no,39,41
vestido jeans colado medio,Uma manga só,no,22,28
vestido jeans colado curto,Uma manga só,no,26,31
short,unknown,yes,27,37
saia,unknown,no,21,31
blazer,Manga longa,no,30,40
saia,unknown,yes,34,40
vestido solto curto,Manga 3/4,yes,29,37
calça skinny,unknown,yes,27,40
calça jeans mom,unknown,no,34,50
macaquinho,Manga curta,no,20,35
cardigan,Manga longa,no,40,42
vestido jeans solto longo,Manga curta,no,18,33
saia,unknown,no,26,33
calça aladin,unknown,no,32,37
calça jeans mom,unknown,yes,45,50
cropped,regata,no,22,26
vestido jeans solto longo,regata,no,22,37
vestido solto longo,Manga curta,no,40,49
saia jeans,unknown,no,34,40
calça,unknown,no,25,35
t-shirt,unknown,yes,22,31
calça wide leg,unknown,no,33,36
sueter,Manga longa,no,23,35
t-shirt,unknown,yes,25,30
calça,unknown,yes,16,34
vestido jeans solto curto,Manga longa,yes,46,47
cardigan,Manga longa,no,38,42
short,unknown,no,23,31
vestido solto curto,regata,yes,40,47
blazer,Manga longa,no,19,35
calça jeans mom,unknown,no,17,45
jaqueta,Manga longa,no,38,48
vestido solto longo,Manga 3/4,no,44,46
saia,unknown,yes,38,45
leggings,unknown,yes,26,38
vestido jeans solto curto,Manga curta,no,29,34
sueter,Manga longa,yes,17,36
short jeans,unknown,yes,29,44
vestido solto curto,regata,no,19,24
t-shirt,unknown,yes,16,24
vestido jeans colado medio,Manga longa,no,19,24
jaqueta,Manga longa,no,23,38
vestido solto longo,regata,no,24,39
blazer,Manga longa,yes,30,45
blazer,Manga longa,no,25,40
short,unknown,no,21,30
short jeans,unknown,no,18,30
blazer,Manga longa,no,34,43
vestido colado longo,Manga curta,yes,32,50
vestido solto curto,Manga curta,yes,35,42
vestido jeans solto longo,regata,no,21,36
blusa,Manga 3/4,no,18,23
short,unknown,yes,37,43
vestido colado medio,Manga 3/4,no,28,33
short jeans,unknown,no,32,40
short jeans,unknown,no,32,40
calça,unknown,no,24,34
vestido solto curto,Manga longa,yes,32,39
short,unknown,no,31,33
sueter,Manga longa,no,17,32
short,unknown,yes,20,33
short jeans,unknown,no,30,40
t-shirt,unknown,no,16,22
vestido solto longo,Manga curta,yes,38,50
blusa,Uma manga só,no,14,20
calça jeans,unknown,no,35,50
blazer,Manga longa,yes,45,46
t-shirt,unknown,no,23,26
vestido jeans solto curto,Uma manga só,yes,19,28
vestido solto medio,Uma manga só,no,28,33
saia,unknown,no,33,35
saia,unknown,yes,27,37
vestido colado longo,Manga 3/4,yes,36,50
calça jeans wide leg,unknown,yes,24,50
saia jeans,unknown,yes,24,38
jaqueta,Manga longa,no,24,39
sueter,Manga longa,no,36,40
cardigan,Manga longa,no,37,41
saia,unknown,yes,32,38
vestido jeans solto longo,Manga curta,no,34,46
calça jeans,unknown,no,16,45
saia jeans,unknown,no,48,50
saia jeans,unknown,no,37,42
vestido jeans colado curto,Uma manga só,yes,15,24
saia jeans,unknown,no,15,30
saia jeans,unknown,yes,38,46
vestido jeans colado curto,regata,yes,36,41
vestido jeans solto longo,Manga 3/4,no,18,32
short,unknown,no,36,38
calça jeans,unknown,yes,29,50
calça aladin,unknown,no,20,30
vestido jeans solto medio,Manga curta,no,36,37
cardigan,Manga longa,yes,36,46
short jeans,unknown,no,25,35
macacao longo,Manga longa,no,18,35
jaqueta,Manga longa,yes,38,50
vestido jeans solto longo,Manga curta,no,27,42
calça jeans wide leg,unknown,yes,29,50
calça mom,unknown,no,28,35
short,unknown,yes,20,34
blusa,regata,no,15,21
short,unknown,yes,38,44
calça jeans mom,unknown,no,25,45
vestido jeans solto medio,regata,no,30,35
vestido colado longo,Manga longa,yes,24,43
cardigan,Manga longa,yes,33,44
vestido solto curto,Manga longa,no,32,35
short,unknown,no,35,37
vestido solto longo,regata,no,35,48
short jeans,unknown,no,34,40
short,unknown,no,26,32
short,unknown,no,20,30
vestido solto medio,Manga curta,no,15,19
blusa,Manga curta,no,24,26
vestido jeans colado medio,Manga curta,yes,30,40
blazer,Manga longa,yes,16,38
calça skinny,unknown,no,32,36
vestido colado longo,Uma manga só,no,35,47
sueter,Manga longa,no,20,35
calça wide leg,unknown,no,26,35
calça jeans mom,unknown,yes,41,50
blusa,Manga longa,no,23,26
cropped,Uma manga só,no,18,23
macacao longo,Manga 3/4,no,18,35
calça jeans mom,unknown,no,21,45
sueter,Manga longa,no,18,33
short,unknown,yes,29,35
vestido jeans colado curto,Manga longa,no,25,30
cardigan,Manga longa,yes,15,33
calça,unknown,yes,18,35
vestido jeans colado medio,Manga 3/4,no,23,28
short jeans,unknown,no,30,40
vestido jeans colado medio,Manga curta,no,29,34
vestido colado longo,Manga 3/4,no,39,49
jaqueta,Manga longa,no,36,47
leggings,unknown,no,29,35
macaquinho,Manga curta,yes,23,38
calça mom,unknown,no,25,34
vestido jeans solto longo,regata,no,38,49
jaqueta,Manga longa,no,26,40
saia jeans,unknown,no,26,36
vestido colado longo,Uma manga só,yes,17,36
vestido solto curto,Manga longa,no,40,40
calça jeans,unknown,yes,23,48
jaqueta,Manga longa,yes,24,42
macacao longo,Manga longa,no,17,36
cardigan,Manga longa,yes,19,38
vestido jeans solto curto,Manga curta,no,40,41
saia jeans,unknown,no,22,32
vestido jeans solto medio,Manga curta,no,31,35
saia,unknown,yes,20,35
vestido jeans solto longo,regata,no,16,31
calça jeans skinny,unknown,yes,17,50
vestido jeans colado medio,Manga 3/4,no,47,48
calça jeans,unknown,no,37,50
calça skinny,unknown,yes,22,37
blusa,Manga longa,yes,27,34
saia,unknown,no,32,34
jaqueta,Manga longa,yes,20,39
vestido jeans solto curto,Manga longa,no,39,41
vestido jeans solto curto,Uma manga só,no,25,30
short jeans,unknown,no,27,37
vestido jeans solto longo,Manga curta,no,19,34
calça jeans mom,unknown,no,43,50
calça jeans skinny,unknown,no,36,50
vestido jeans solto curto,Manga curta,no,36,38
calça jeans skinny,unknown,yes,24,50
jaqueta,Manga longa,no,32,43
vestido jeans solto curto,regata,no,27,32
calça aladin,unknown,no,26,35
vestido jeans solto longo,Manga curta,yes,25,43
vestido jeans solto medio,Manga 3/4,no,34,36
macaquinho,Manga 3/4,no,30,40
calça skinny,unknown,no,18,30
blazer,Manga longa,no,32,42
vestido jeans colado medio,regata,no,32,35
vestido jeans solto medio,Manga curta,no,21,26
sueter,Manga longa,no,18,33
vestido solto longo,Manga 3/4,no,22,37
vestido jeans solto curto,regata,no,16,21
short jeans,unknown,no,22,32
vestido jeans solto curto,regata,no,19,24
short jeans,unknown,yes,23,37
macaquinho,Manga curta,no,38,42
t-shirt,unknown,yes,17,26
calça mom,unknown,yes,22,37
short jeans,unknown,no,29,40
calça jeans skinny,unknown,no,15,45
calça jeans skinny,unknown,yes,15,48
saia,unknown,yes,27,36
saia,unknown,no,29,32
calça jeans mom,unknown,no,36,50
vestido jeans colado curto,regata,yes,35,41
calça aladin,unknown,no,19,30
blusa,Uma manga só,no,35,36
short jeans,unknown,no,20,30
calça jeans mom,unknown,yes,41,50
blusa,regata,yes,32,37
saia jeans,unknown,no,22,32
cropped,Manga longa,no,36,37
saia jeans,unknown,no,39,44
short,unknown,yes,37,42
short,unknown,yes,30,35
vestido colado longo,regata,no,33,46
calça aladin,unknown,yes,19,34
short,unknown,yes,18,33
short,unknown,no,20,31
short jeans,unknown,yes,35,43
short jeans,unknown,yes,31,45
vestido solto longo,Uma manga só,no,37,48
cropped,regata,no,33,34
blazer,Manga longa,no,34,45
blusa,Manga longa,no,16,20
macacao longo,Manga longa,no,33,42
vestido colado longo,regata,yes,30,48
vestido solto longo,Manga longa,yes,16,34
blazer,Manga longa,no,16,35
vestido jeans colado medio,Uma manga só,no,35,37
sueter,Manga longa,no,24,35
t-shirt,unknown,yes,10,23
vestido jeans colado curto,regata,yes,37,42
calça jeans skinny,unknown,no,24,45
t-shirt,unknown,yes,18,27
saia jeans,unknown,no,23,33
short jeans,unknown,no,36,41
vestido solto longo,Manga curta,no,37,48
short jeans,unknown,no,29,39
vestido jeans colado curto,Manga 3/4,no,28,33
vestido colado longo,Manga curta,no,38,49
macaquinho,regata,no,18,33
blusa,Uma manga só,yes,14,23
vestido jeans colado curto,Manga longa,no,22,27
vestido jeans solto medio,Manga curta,no,15,20
jaqueta,Manga longa,no,37,47
saia,unknown,yes,20,34
short jeans,unknown,no,39,43
vestido jeans colado medio,Manga 3/4,no,39,40
blazer,Manga longa,yes,32,46
cardigan,Manga longa,yes,38,45
macaquinho,Uma manga só,no,22,35
vestido solto longo,Uma manga só,yes,28,46
macacao longo,regata,yes,28,43
cardigan,Manga longa,yes,22,40
vestido jeans colado curto,Manga longa,no,34,36
vestido jeans solto medio,regata,no,35,37
short,unknown,yes,34,40
short jeans,unknown,no,37,42
vestido jeans solto medio,Manga 3/4,no,37,39
blazer,Manga longa,no,23,38
saia jeans,unknown,no,32,40
cardigan,Manga longa,yes,25,40
vestido colado longo,Manga curta,no,29,44
vestido solto curto,Manga 3/4,yes,31,39
macaquinho,Manga longa,no,37,41
vestido jeans colado medio,Manga 3/4,yes,25,33
saia jeans,unknown,yes,27,40
t-shirt,unknown,yes,24,31
vestido solto longo,Manga curta,no,36,47
cropped,Manga longa,yes,29,33
short jeans,unknown,no,20,30
cardigan,Manga longa,no,19,34
calça wide leg,unknown,no,34,38
vestido jeans solto medio,Uma manga só,no,21,26
t-shirt,unknown,no,14,20
vestido jeans solto longo,Uma manga só,no,18,33
calça aladin,unknown,no,32,37
calça jeans mom,unknown,no,30,50
calça jeans skinny,unknown,no,26,46
vestido jeans solto medio,Manga curta,no,34,37
vestido jeans colado curto,Manga 3/4,no,21,26
cardigan,Manga longa,no,28,38
saia jeans,unknown,no,23,33
sueter,Manga longa,no,32,40
calça mom,unknown,yes,33,40
vestido jeans colado medio,regata,no,39,40
cardigan,Manga longa,no,37,41
vestido solto curto,Manga curta,no,23,29
sueter,Manga longa,no,22,35
saia jeans,unknown,no,21,30
macaquinho,Manga longa,no,36,40
macaquinho,Uma manga só,no,25,34
vestido jeans colado curto,Manga 3/4,no,31,35
macaquinho,Manga 3/4,no,28,38
vestido solto curto,Manga longa,no,46,47
cardigan,Manga longa,yes,27,40
vestido jeans solto medio,regata,no,28,33
cardigan,Manga longa,yes,28,43
calça aladin,unknown,no,19,31
vestido solto curto,Manga 3/4,no,16,22
short jeans,unknown,no,34,40
sueter,Manga longa,yes,26,42
short,unknown,no,18,30
short jeans,unknown,no,28,39
vestido jeans solto medio,Manga curta,no,22,27
calça jeans skinny,unknown,yes,34,50
short jeans,unknown,no,18,30
jaqueta,Manga longa,no,26,40
macacao longo,Manga 3/4,no,22,37
short,unknown,no,23,32
short jeans,unknown,no,35,39
short jeans,unknown,yes,33,44
blazer,Manga longa,yes,34,47
vestido jeans colado medio,Uma manga só,no,22,27
saia jeans,unknown,yes,15,34
vestido jeans solto curto,regata,no,38,39
cardigan,Manga longa,no,19,34
vestido jeans solto curto,Manga longa,yes,22,32
blazer,Manga longa,yes,16,39
vestido solto longo,Manga curta,no,38,49
vestido jeans solto curto,regata,no,23,28
calça mom,unknown,yes,36,44
sueter,Manga longa,no,40,42
short jeans,unknown,yes,21,35
t-shirt,unknown,no,31,32
blazer,Manga longa,no,40,49
vestido jeans colado curto,Manga longa,yes,31,39
calça jeans aladin,unknown,no,21,45
short,unknown,yes,17,34
cardigan,Manga longa,no,29,39
vestido jeans solto medio,Manga 3/4,yes,20,29
short,unknown,no,21,30
leggings,unknown,no,40,42
macaquinho,Manga 3/4,no,29,39
macaquinho,Manga 3/4,no,26,35
vestido colado curto,Manga curta,yes,15,23
calça skinny,unknown,no,24,34
vestido jeans colado medio,Manga 3/4,yes,38,44
vestido colado longo,Manga curta,no,25,40
short,unknown,yes,19,34
vestido jeans colado medio,Manga 3/4,no,18,23
saia jeans,unknown,no,27,37
vestido jeans solto longo,Manga 3/4,no,25,40
cropped,regata,no,14,20
calça wide leg,unknown,yes,15,33
calça jeans aladin,unknown,no,37,49
vestido jeans solto medio,Manga curta,no,37,39
calça jeans wide leg,unknown,no,23,45
leggings,unknown,no,33,37
calça jeans aladin,unknown,no,40,50
calça jeans,unknown,yes,34,50
macacao longo,Manga 3/4,yes,26,43
vestido jeans colado medio,regata,no,22,27
calça aladin,unknown,no,35,37
vestido solto longo,Manga curta,no,37,48
calça wide leg,unknown,no,30,35
cardigan,Manga longa,no,18,34
saia,unknown,no,35,37
vestido solto longo,Manga curta,no,22,36
vestido jeans colado medio,Manga curta,no,37,39
leggings,unknown,no,28,36
vestido jeans colado curto,Manga longa,no,26,31
short jeans,unknown,no,36,41
sueter,Manga longa,no,28,38
blusa,Manga longa,no,27,28
saia,unknown,no,23,32
calça wide leg,unknown,yes,24,39
vestido jeans solto curto,Manga longa,no,30,35
vestido solto curto,Manga longa,no,28,33
jaqueta,Manga longa,no,15,35
cropped,Manga longa,no,35,36
calça jeans wide leg,unknown,no,39,50
short,unknown,no,26,32
calça skinny,unknown,yes,28,39
vestido jeans colado curto,Manga longa,no,35,37
vestido jeans solto longo,Manga curta,no,21,36
calça jeans,unknown,no,32,50
saia jeans,unknown,no,27,37
calça jeans,unknown,no,35,50
vestido solto longo,Manga 3/4,yes,39,50
vestido solto longo,regata,yes,30,49
macaquinho,regata,no,20,35
vestido solto medio,Uma manga só,no,18,24
short jeans,unknown,no,22,32
vestido colado longo,Manga longa,no,44,44
blazer,Manga longa,no,37,48
blusa,Manga curta,no,15,20
vestido jeans colado curto,Manga 3/4,no,29,34
cropped,Manga 3/4,no,26,28
short jeans,unknown,yes,29,44
t-shirt,unknown,no,18,22
vestido jeans solto medio,regata,no,21,26
vestido solto longo,Uma manga só,no,29,43
short,unknown,no,18,30
cardigan,Manga longa,no,35,40
vestido jeans colado medio,Manga longa,no,25,29
saia,unknown,no,26,32
saia jeans,unknown,yes,31,44
short jeans,unknown,no,29,39
macacao longo,regata,no,22,37
vestido solto longo,regata,yes,34,50
vestido jeans solto curto,Uma manga só,yes,43,44
vestido colado longo,Uma manga só,no,22,37
calça mom,unknown,no,20,30
sueter,Manga longa,no,25,35
calça,unknown,no,23,33
vestido jeans solto curto,Uma manga só,yes,20,30
vestido colado medio,Manga curta,no,22,26
macacao longo,Manga curta,no,15,34
vestido colado curto,Manga 3/4,no,40,41
vestido colado longo,Manga 3/4,no,21,36
calça jeans,unknown,no,36,51
short,unknown,no,32,34
short,unknown,no,15,30
cropped,Manga longa,no,26,28
short,unknown,yes,15,35
macacao longo,Manga 3/4,no,30,40
vestido jeans solto curto,Uma manga só,yes,39,45
calça jeans mom,unknown,no,40,50
calça jeans skinny,unknown,no,25,45
calça jeans skinny,unknown,no,20,45
blusa,Manga longa,yes,23,29
macacao longo,Manga curta,no,25,40
calça,unknown,no,28,35
t-shirt,unknown,no,34,36
saia,unknown,no,36,38
calça jeans,unknown,no,35,50
vestido jeans solto medio,Manga 3/4,no,44,45
calça aladin,unknown,no,16,29
short,unknown,no,30,33
calça jeans aladin,unknown,no,45,50
sueter,Manga longa,yes,22,40
cardigan,Manga longa,no,36,40
calça jeans mom,unknown,yes,42,50
sueter,Manga longa,yes,19,38
vestido jeans solto medio,Manga longa,no,29,34
jaqueta,Manga longa,yes,17,40
vestido jeans solto medio,regata,yes,18,27
vestido colado longo,Manga curta,no,18,33
cropped,regata,no,31,32
short jeans,unknown,no,33,40
vestido jeans colado medio,Manga longa,no,34,36
short,unknown,no,16,30
blazer,Manga longa,no,40,51
saia jeans,unknown,no,23,33
calça aladin,unknown,yes,16,35
calça wide leg,unknown,no,15,30
macacao longo,regata,no,22,37
vestido jeans colado medio,Uma manga só,no,38,39
macaquinho,Manga 3/4,no,29,39
calça jeans mom,unknown,yes,21,48
short,unknown,no,39,41
macacao longo,Manga longa,yes,35,48
blazer,Manga longa,no,31,41
blazer,Manga longa,no,24,39
calça jeans skinny,unknown,no,43,51
macaquinho,Uma manga só,no,29,38
vestido jeans solto medio,Manga curta,yes,27,38
calça aladin,unknown,no,37,39
t-shirt,unknown,yes,11,23
blusa,regata,no,31,32
calça aladin,unknown,no,30,35
short,unknown,no,22,31
vestido solto longo,regata,no,34,47
blazer,Manga longa,no,29,41
calça,unknown,yes,21,33
short jeans,unknown,no,35,40
sueter,Manga longa,no,38,42
vestido jeans solto longo,Uma manga só,yes,22,40
saia,unknown,no,15,30
short jeans,unknown,no,33,40
vestido jeans solto curto,regata,no,32,36
blazer,Manga longa,no,32,42
calça jeans skinny,unknown,no,32,50
vestido colado longo,Manga longa,no,29,44
saia jeans,unknown,no,40,45
macaquinho,Uma manga só,no,22,35
short,unknown,no,34,36
short,unknown,no,50,50
calça skinny,unknown,no,30,35
calça jeans aladin,unknown,no,32,50
saia,unknown,yes,32,38
calça,unknown,yes,20,33
leggings,unknown,no,27,35
vestido jeans solto curto,Manga 3/4,no,34,37
blusa,regata,yes,11,25
vestido colado longo,Manga longa,no,38,48
vestido jeans solto curto,Uma manga só,no,38,39
vestido jeans colado curto,Manga curta,yes,42,43
macaquinho,Manga longa,yes,39,46
vestido jeans solto curto,Uma manga só,yes,44,45
calça,unknown,no,31,35
jaqueta,Manga longa,no,40,49
cardigan,Manga longa,yes,19,37
blazer,Manga longa,no,36,45
macacao longo,Uma manga só,yes,18,39
sueter,Manga longa,no,16,31
blusa,Uma manga só,no,12,21
macacao longo,Manga longa,yes,34,49
calça jeans,unknown,no,30,50
vestido jeans colado curto,regata,no,24,29
vestido solto curto,Manga longa,yes,33,39
macacao longo,regata,no,16,35
jaqueta,Manga longa,no,21,36
blazer,Manga longa,yes,33,46
macaquinho,Manga 3/4,no,40,42
short,unknown,no,36,38
calça jeans,unknown,yes,37,50
t-shirt,unknown,no,25,27
calça jeans aladin,unknown,no,27,47
short jeans,unknown,no,37,42
vestido colado longo,regata,no,36,47
vestido colado curto,regata,no,39,40
calça aladin,unknown,yes,31,38
macacao longo,Manga longa,yes,27,43
calça jeans mom,unknown,no,17,45
short jeans,unknown,yes,32,43
vestido jeans solto curto,Uma manga só,no,18,23
vestido jeans solto curto,Manga longa,yes,32,38
leggings,unknown,no,22,32
cropped,Uma manga só,no,17,22
blazer,Manga longa,yes,28,45
macacao longo,Manga curta,no,37,47
saia jeans,unknown,yes,28,43
calça jeans skinny,unknown,no,27,47
vestido jeans colado medio,Uma manga só,no,26,30
sueter,Manga longa,no,24,36
calça jeans skinny,unknown,no,43,50
saia,unknown,no,25,32
macaquinho,regata,no,30,40
calça jeans skinny,unknown,yes,42,50
vestido jeans solto longo,Uma manga só,yes,30,48
short jeans,unknown,no,26,36
calça skinny,unknown,no,26,35
short jeans,unknown,yes,39,47
vestido colado medio,regata,yes,34,39
short jeans,unknown,no,33,40
macacao longo,Manga longa,no,22,37
calça jeans aladin,unknown,no,19,45
sueter,Manga longa,no,30,40
vestido jeans solto curto,regata,no,28,32
calça jeans skinny,unknown,no,21,46
vestido jeans solto medio,Uma manga só,yes,25,33
vestido colado longo,Manga 3/4,no,37,48
short jeans,unknown,no,23,33
vestido jeans colado curto,regata,no,20,24
calça wide leg,unknown,no,19,29
vestido jeans solto curto,Manga longa,no,34,36
saia,unknown,no,19,30
vestido colado longo,regata,no,19,34
short,unknown,no,35,37
vestido colado medio,Manga longa,no,25,30
vestido solto curto,Manga 3/4,yes,34,40
vestido jeans solto curto,Manga longa,yes,40,46
calça jeans,unknown,yes,30,50
calça skinny,unknown,no,19,29
vestido jeans solto curto,regata,no,15,20
vestido colado longo,Uma manga só,yes,17,35
t-shirt,unknown,no,10,20
vestido jeans solto curto,Uma manga só,no,35,37
blazer,Manga longa,yes,24,43
saia jeans,unknown,yes,21,34
blazer,Manga longa,yes,21,39
vestido jeans solto medio,Manga curta,yes,21,30
macacao longo,Manga 3/4,no,19,35
sueter,Manga longa,yes,30,44
vestido jeans solto curto,Uma manga só,no,25,30
vestido colado longo,Manga longa,no,27,42
vestido colado longo,Uma manga só,no,23,38
vestido colado medio,Manga longa,yes,24,32
blusa,Manga curta,no,30,31
t-shirt,unknown,no,24,27
blusa,Uma manga só,no,15,20
calça jeans skinny,unknown,yes,27,50
short jeans,unknown,yes,37,47
vestido solto medio,Uma manga só,no,34,37
cropped,regata,no,19,24
saia jeans,unknown,no,36,41
leggings,unknown,no,26,35
calça jeans skinny,unknown,no,48,50
blusa,Manga 3/4,no,12,20
saia jeans,unknown,no,15,30
saia,unknown,no,23,32
macaquinho,Uma manga só,yes,28,41
sueter,Manga longa,no,17,32
saia jeans,unknown,yes,23,36
vestido jeans solto medio,regata,no,49,50
vestido jeans colado curto,regata,no,32,36
blusa,Manga longa,no,23,26
calça jeans mom,unknown,no,36,50
vestido solto medio,Manga curta,yes,24,33
vestido solto medio,Manga curta,no,15,20
vestido solto longo,Manga 3/4,yes,19,39
vestido colado curto,Manga curta,no,16,21
short,unknown,no,19,31
vestido colado longo,Uma manga só,yes,32,50
blazer,Manga longa,no,32,42
saia jeans,unknown,no,26,36
short,unknown,no,35,37
short jeans,unknown,yes,39,48
calça wide leg,unknown,yes,36,43
t-shirt,unknown,no,29,30
blusa,Uma manga só,no,22,26
vestido colado curto,regata,no,34,37
saia,unknown,no,38,40
saia,unknown,yes,25,36
vestido jeans colado medio,Manga longa,no,24,29
calça skinny,unknown,no,27,35
short jeans,unknown,no,28,39
vestido jeans colado curto,regata,no,37,39
vestido jeans colado curto,regata,no,33,36
short jeans,unknown,no,27,38
vestido solto longo,regata,no,29,44
jaqueta,Manga longa,no,33,43
short jeans,unknown,yes,35,45
macacao longo,regata,no,46,48
blusa,Uma manga só,no,11,20
short jeans,unknown,no,38,43
vestido solto medio,Manga curta,no,37,38
vestido jeans solto medio,Uma manga só,no,40,41
vestido jeans colado curto,Manga curta,no,33,36
calça skinny,unknown,no,17,30
short,unknown,no,35,37
calça jeans aladin,unknown,no,43,50
macacao longo,Manga curta,yes,20,40
sueter,Manga longa,no,41,41
cropped,regata,no,29,30
vestido jeans solto medio,Manga longa,no,36,38
jaqueta,Manga longa,no,16,35
saia jeans,unknown,no,19,30
cropped,regata,no,13,20
calça jeans skinny,unknown,no,27,47
calça mom,unknown,no,38,41
saia,unknown,no,24,32
vestido colado curto,Manga curta,no,26,31
calça jeans mom,unknown,no,32,50
calça jeans wide leg,unknown,no,43,50
calça,unknown,no,23,33
vestido jeans solto medio,Uma manga só,no,40,41
short jeans,unknown,yes,27,41
vestido jeans solto longo,regata,yes,37,50
cardigan,Manga longa,no,31,40
vestido jeans solto longo,Uma manga só,yes,22,40
vestido solto longo,Uma manga só,no,23,38
short jeans,unknown,yes,26,41
calça jeans mom,unknown,no,40,49
vestido jeans solto longo,Manga 3/4,no,18,33
calça jeans mom,unknown,no,22,45
calça jeans skinny,unknown,no,43,50
vestido solto curto,Manga longa,no,31,36
sueter,Manga longa,yes,37,46
macaquinho,Manga longa,no,20,35
vestido jeans solto curto,Manga curta,yes,28,36
vestido solto longo,Manga 3/4,no,19,34
saia,unknown,no,16,29
short jeans,unknown,no,16,30
saia jeans,unknown,no,17,30
macacao longo,Manga curta,yes,30,44
saia jeans,unknown,no,40,45
saia jeans,unknown,no,31,40
vestido colado curto,Uma manga só,no,19,24
macaquinho,Uma manga só,no,36,40
t-shirt,unknown,yes,21,29
short,unknown,no,23,31
saia jeans,unknown,yes,21,36
leggings,unknown,yes,24,39
t-shirt,unknown,yes,27,33
calça jeans,unknown,no,28,48
jaqueta,Manga longa,no,40,50
macacao longo,Manga 3/4,no,33,43
saia jeans,unknown,no,18,30
jaqueta,Manga longa,no,20,35
calça jeans mom,unknown,yes,16,50
saia jeans,unknown,yes,31,44
vestido solto longo,Manga curta,no,45,46
calça,unknown,no,30,36
saia jeans,unknown,no,24,35
vestido colado longo,Manga longa,no,39,49
vestido solto medio,Uma manga só,yes,25,34
saia,unknown,no,24,31
cropped,Manga longa,no,25,27
vestido colado curto,Manga curta,no,22,27
calça jeans,unknown,yes,18,48
calça jeans mom,unknown,no,33,49
vestido colado longo,Manga longa,no,31,45
vestido jeans solto curto,Manga curta,no,25,30
blusa,regata,yes,12,24
blazer,Manga longa,no,30,40
saia jeans,unknown,no,26,35
macaquinho,Uma manga só,no,32,40
vestido solto curto,Manga curta,no,36,38
vestido colado longo,Manga curta,no,28,43
short jeans,unknown,no,37,42
calça mom,unknown,yes,28,40
blazer,Manga longa,yes,25,43
blazer,Manga longa,no,18,35
vestido jeans solto longo,Uma manga só,no,16,31
vestido colado longo,Manga curta,no,19,34
calça mom,unknown,no,21,31
calça jeans,unknown,no,37,50
vestido solto curto,Manga longa,no,27,32
cropped,Uma manga só,yes,35,41
vestido jeans solto curto,Uma manga só,no,39,40
calça skinny,unknown,no,39,42
vestido jeans solto curto,Manga longa,yes,22,31
vestido jeans colado curto,Manga curta,no,27,32
sueter,Manga longa,yes,27,40
blusa,Manga longa,no,30,31
jaqueta,Manga longa,no,22,37
vestido jeans colado curto,Manga curta,yes,25,35
vestido jeans colado curto,Manga 3/4,yes,37,41
vestido solto curto,Manga 3/4,no,33,36
vestido jeans solto longo,Manga longa,no,40,49
vestido solto longo,regata,no,27,42
blazer,Manga longa,no,17,35
calça jeans skinny,unknown,no,36,50
short,unknown,no,23,31
vestido jeans colado curto,Manga longa,no,15,20
short,unknown,no,21,30
vestido colado longo,Manga longa,no,36,48
vestido jeans solto curto,Manga curta,no,35,37
vestido solto longo,Manga 3/4,no,44,45
vestido jeans solto curto,Manga curta,yes,15,22
cropped,Uma manga só,yes,27,32
vestido jeans colado medio,Uma manga só,no,27,32
vestido jeans colado curto,Uma manga só,no,32,36
